"","league_name","match_api_id","home_team_api_id","away_team_api_id","match_score","win_loss","home_team_overall_ratings","home_team_overall_potentials","home_team_overall_staminas","home_team_overall_agilities","home_team_overall_aggressions","away_team_overall_ratings","away_team_overall_potentials","away_team_overall_staminas","away_team_overall_agilities","away_team_overall_aggressions","total_rating_spread","total_potential_spread","total_stamina_spread","total_agility_spread","total_aggression_spread"
"1","England Premier League",1228229,9825,8472,0,"draw",864.734454076531,900.197501557662,766.701087063559,771.222504381456,699.578559545321,815.740191793121,849.887540497472,810.001706742702,730.782871196944,801.901712121254,48.9942622834102,50.3099610601897,-43.3006196791432,40.4396331845112,-102.323152575934
"2","England Premier League",1228230,8668,10260,1,"win",847.879116300366,868.459848901099,808.315815018315,699.337326007326,789.492999084249,892.189939964285,919.326603470374,789.276437133469,814.874053251069,739.656876742506,-44.3108236639184,-50.866754569275,19.0393778848464,-115.536727243743,49.8361223417426
"3","England Premier League",1228231,9879,9850,5,"win",839.706730182352,863.445141782683,762.043338161074,719.889259112303,699.117597061225,764.35821798766,805.275974140386,777.679650713271,666.245261894943,718.22770076417,75.3485121946928,58.1691676422972,-15.6363125521971,53.6439972173592,-19.1101037029447
"4","England Premier League",1228232,8456,8466,1,"win",907.835774993555,936.153822460344,820.056922336842,798.608184446857,724.692633825242,781.118728816931,834.521535066495,777.862290772816,744.98410138848,660.856400311258,126.717046176624,101.632287393849,42.1946315640258,53.6240830583768,63.8362335139841
"5","England Premier League",1228233,10261,8586,1,"win",832.240791798909,870.205681376347,813.800611512646,775.063744219795,739.481113449668,854.509106814631,890.810324074074,824.225048675936,768.999493973768,776.889783469219,-22.2683150157219,-20.6046426977272,-10.4244371632897,6.06425024602663,-37.4086700195512
"6","England Premier League",1228234,10172,10003,-5,"loss",809.605544921029,849.146020717634,782.656944345977,740.808531253693,727.513988735279,804.227850241546,842.429146537842,780.719122383253,769.373647342995,661.011570048309,5.37769467948283,6.71687417979138,1.93782196272377,-28.5651160893026,66.5024186869699
"7","England Premier League",1228235,9798,10194,0,"draw",750.920800051203,795.640371121629,750.092543276116,643.149185092403,707.836942414835,807.788325104015,840.824030146099,825.756185927738,727.436821741477,759.099263278229,-56.8675250528115,-45.1836590244703,-75.6636426516211,-84.2876366490739,-51.2623208633936
"8","England Premier League",1228236,8659,8650,3,"win",809.523009252913,837.240042274475,767.177075265392,679.901408894985,746.732680342385,865.191310763216,900.237125001076,808.074232607404,744.078884970765,743.207684948376,-55.6683015103034,-62.9970827266017,-40.8971573420116,-64.1774760757795,3.52499539400947
"9","England Premier League",1228237,8654,10252,1,"win",797.799966041457,821.359616006232,792.239506808963,634.340859391096,804.289440141942,810.991563611509,849.313370029729,785.75519509476,736.105893299535,763.045126192246,-13.1915975700521,-27.9537540234971,6.48431171420259,-101.765033908438,41.2443139496963
"10","England Premier League",1228238,8528,8455,-2,"loss",797.964034309509,834.012510018975,777.532087525837,702.622300592128,703.371983808622,892.473242672312,922.333146367151,801.951242393085,760.600675429965,761.392535165306,-94.5092083628033,-88.3206363481752,-24.4191548672479,-57.9783748378368,-58.0205513566839
"11","England Premier League",1229196,9879,8668,0,"draw",836.645184288633,858.01485192761,754.590971011316,692.764428194428,684.990978703737,851.706616300366,876.996515567766,807.315100732601,754.358278388278,766.999546703297,-15.0614320117336,-18.9816636401551,-52.7241297212847,-61.5938501938501,-82.0085679995594
"12","England Premier League",1229197,8650,10261,0,"draw",844.539793443981,894.065341629456,781.865110702739,757.498407819092,697.680566621855,833.925470887936,872.874780755229,797.121729525068,769.612294944433,736.627697300599,10.6143225560452,21.1905608742271,-15.2566188223296,-12.1138871253405,-38.9471306787443
"13","England Premier League",1229198,10260,9825,1,"win",880.746975376455,912.210594639667,755.690842048195,769.301365669075,717.305335365612,866.672863428281,900.225576616366,777.599646079754,742.069818150546,722.473712055059,14.0741119481736,11.9850180233009,-21.9088040315598,27.2315475185289,-5.16837668944675
"14","England Premier League",1229199,9850,10194,1,"win",793.030864164571,821.572436385454,793.160343105171,700.751744605969,740.720639532881,805.47976430997,837.849103209237,812.875045407565,705.726730757192,797.810370713207,-12.4489001453991,-16.2766668237831,-19.7147023023941,-4.97498615122356,-57.0897311803262
"15","England Premier League",1229200,10172,9798,0,"draw",820.6043779409,857.993175230567,784.560979986197,780.07628458498,739.807237593325,742.933783630163,783.490708917519,758.251170582291,688.2811996337,725.498688581533,77.6705943107368,74.5024663130473,26.309809403906,91.7950849512804,14.3085490117911
"16","England Premier League",1229201,8472,10252,-1,"loss",820.538560091489,853.511000370932,815.906468647464,719.084486248559,791.159079753622,791.100148643627,845.568711843712,779.219725805595,718.446550671551,693.043126559431,29.4384114478623,7.94228852721972,36.6867428418685,0.637935577008761,98.1159531941912
"17","England Premier League",1229202,10003,8455,0,"draw",799.376799167017,837.514309683875,736.121214252736,741.035469482209,645.64821905148,869.226150031837,914.202272271203,810.985184172983,774.098756515546,688.601250496815,-69.8493508648203,-76.6879625873281,-74.8639699202471,-33.0632870333374,-42.9530314453352
"18","England Premier League",1229204,8586,8528,-1,"loss",866.022557669332,902.03811965812,824.378146966534,762.73149539827,773.183237885173,803.234333454808,830.228305797271,782.08931039556,728.59792219275,703.210400022038,62.7882242145243,71.8098138608483,42.2888365709737,34.1335732055198,69.9728378631355
"19","England Premier League",1229205,8659,8466,2,"win",804.249711761873,837.320997609462,779.467673555991,686.554014354042,728.434568955564,792.002332888269,844.440401436119,818.355977371913,781.197092780385,673.143837722014,12.2473788736044,-7.11940382665716,-38.8883038159223,-94.6430784263422,55.2907312335498
"20","England Premier League",1229206,8654,8456,0,"draw",806.180321793468,837.586113042918,794.430242575958,652.529385229187,760.768602699701,899.446949095543,929.452254566911,816.412904543561,716.706104292323,738.081884105376,-93.2666273020744,-91.8661415239927,-21.9826619676032,-64.1767190631352,22.6867185943241
"21","England Premier League",1229208,9825,9879,0,"draw",864.871405645586,895.211941789395,759.059786018698,729.782122225781,725.465385380606,836.20465216943,854.392336165453,784.903759765614,702.920970169077,741.09333754694,28.6667534761558,40.8196056239417,-25.8439737469159,26.8611520567033,-15.6279521663339
"22","England Premier League",1229209,10252,10260,-1,"loss",786.013254056732,839.877828652829,778.929127514997,714.748544973545,684.521759038063,890.693630290852,914.953739681199,742.911822244981,770.910177955306,738.273997043951,-104.68037623412,-75.0759110283703,36.017305270016,-56.1616329817613,-53.7522380058879
"23","England Premier League",1229210,8455,8650,0,"draw",882.580703498523,920.785959757464,814.796559344652,778.881515885805,705.593443284964,851.455167924573,892.535190621044,804.927034286401,735.075482917906,744.132781074069,31.1255355739495,28.2507691364199,9.86952505825104,43.8060329678992,-38.5393377891057
"24","England Premier League",1229211,8668,8472,1,"win",851.706616300366,876.996515567766,807.315100732601,754.358278388278,766.999546703297,818.30211929091,857.32538185152,807.622755119613,741.347447425314,753.221399502838,33.4044970094559,19.6711337162455,-0.30765438701178,13.0108309629645,13.7781472004583
"25","England Premier League",1229212,8456,8586,1,"win",902.842680271075,931.708787041546,824.189102278617,756.851515162452,762.406185779424,866.11933186288,902.710930718027,820.852801344414,744.861679730067,783.390611157063,36.723348408195,28.9978563235182,3.33630093420311,11.989835432385,-20.9844253776387
"26","England Premier League",1229213,10261,8654,-1,"loss",823.31337244407,864.094261279944,781.45494966615,752.858099058505,701.609821273175,803.721230884378,837.849749406555,799.066606212321,660.647567047369,746.104966336064,19.5921415596929,26.2445118733889,-17.6116565461713,92.2105320111352,-44.4951450628888
"27","England Premier League",1229214,9798,9850,0,"draw",745.283783630163,784.930708917519,760.411170582291,691.9211996337,733.738688581533,793.030864164571,821.572436385454,793.160343105171,700.751744605969,740.720639532881,-47.7470805344083,-36.6417274679344,-32.7491725228793,-8.83054497226908,-6.98195095134759
"28","England Premier League",1229215,8466,10003,0,"draw",793.705339685393,855.753302260785,803.164717651241,772.287268291148,676.850793511323,799.376799167017,837.514309683875,736.121214252736,741.035469482209,645.64821905148,-5.67145948162363,18.2389925769102,67.0435033985054,31.2517988089396,31.2025744598432
"29","England Premier League",1229216,10194,10172,1,"win",810.701794961311,843.201306274371,807.052855113823,709.896270987077,795.169917328788,824.802473178995,864.425556182948,769.576218081435,784.803903632599,738.986285212372,-14.1006782176838,-21.2242499085768,37.4766370323873,-74.907632645522,56.1836321164161
"30","England Premier League",1229217,8528,8659,-1,"loss",803.234333454808,830.228305797271,782.08931039556,728.59792219275,703.210400022038,802.868277873181,842.243229087662,788.704651577968,672.459082887659,748.306538706243,0.36605558162637,-12.0149232903902,-6.61534118240809,56.1388393050904,-45.0961386842054
"31","England Premier League",1229218,9825,8586,3,"win",878.524289987729,910.675923034066,767.471586246035,751.637194689549,744.47536690945,866.998527948598,905.313272297543,803.564808298812,761.85490317329,745.479947746399,11.5257620391305,5.36265073652351,-36.0932220527775,-10.2177084837414,-1.00458083694969
"32","England Premier League",1229219,9879,8472,-2,"loss",835.781002094016,856.187315695727,763.610639748376,720.133786372482,678.161786157154,819.420743999535,855.562724508863,800.246985888843,722.449428777295,775.383217684657,16.3602580944804,0.624591186863768,-36.6363461404673,-2.31564240481305,-97.2214315275031
"33","England Premier League",1229220,8650,8528,3,"win",855.251768968457,901.112850370715,782.589149164277,763.145698028882,698.786466971505,803.234333454808,830.228305797271,782.08931039556,728.59792219275,703.210400022038,52.0174355136493,70.8845445734435,0.4998387687167,34.5477758361325,-4.42393305053258
"34","England Premier League",1229221,8456,10252,5,"win",909.124068423153,936.621695971696,819.285145603109,778.397123768405,719.009634055286,786.013254056732,839.877828652829,778.929127514997,714.748544973545,684.521759038063,123.110814366421,96.7438673188674,40.3560180881119,63.6485787948602,34.4878750172227
"35","England Premier League",1229222,10261,10003,-1,"loss",805.94218202014,855.781359573229,784.400928289741,746.915173188933,736.990076643541,795.047752609709,836.807504814027,738.970535623797,753.683011553664,667.24252812405,10.8944294104309,18.9738547592019,45.4303926659449,-6.76783836473078,69.7475485194907
"36","England Premier League",1229223,9850,10260,1,"win",793.030864164571,821.572436385454,793.160343105171,700.751744605969,740.720639532881,871.953573310795,900.685306632766,742.634785207944,787.671687926816,670.027957157911,-78.922709146224,-79.1128702473123,50.5255578972266,-86.9199433208474,70.6926823749696
"37","England Premier League",1229224,10172,8466,-2,"loss",824.802473178995,864.425556182948,769.576218081436,784.803903632599,738.986285212372,793.705339685393,855.753302260785,803.164717651241,772.287268291148,676.850793511323,31.097133493602,8.67225392216255,-33.5884995698059,12.516635341451,62.1354917010491
"38","England Premier League",1229226,9798,8668,1,"win",744.250533009816,790.250015101531,753.960934607008,678.795067195613,688.06543893428,848.678837144039,876.049809612431,817.979201228879,747.394953326244,782.354943725629,-104.428304134223,-85.7997945108992,-64.0182666218708,-68.599886130631,-94.2895047913493
"39","England Premier League",1229227,8659,8455,1,"win",800.71274355243,835.717146510818,788.99231123715,706.249374335342,739.363858343128,858.115001585003,911.314018089602,796.327806634154,774.685868224029,707.446523794306,-57.4022580325735,-75.5968715787841,-7.33549539700402,-68.4364938886868,31.9173345488223
"40","England Premier League",1229228,8654,10194,0,"draw",793.078495211216,827.404372718784,808.190512619189,653.658016368163,755.348584054834,810.701794961311,843.201306274371,807.052855113823,709.896270987077,795.169917328788,-17.6232997500954,-15.7969335555865,1.13765750536641,-56.238254618914,-39.8213332739542
"41","England Premier League",1229229,10252,9825,0,"draw",782.899920723399,836.171161986162,788.009127514997,714.195211640212,699.941759038063,856.153796906878,901.339224327355,772.351998608608,740.511824743591,710.806902242072,-73.2538761834788,-65.168062341193,15.6571289063887,-26.3166131033792,-10.8651432040087
"42","England Premier League",1229230,8455,8456,0,"draw",888.486953498523,924.157487535242,830.477114900208,814.244941811731,708.559878470149,897.339782018601,928.478581762953,811.875134931119,729.753291842666,735.333279295227,-8.85282852007867,-4.32109422771146,18.6019799690895,84.4916499690647,-26.7734008250784
"43","England Premier League",1229231,8668,9850,0,"draw",840.829401053813,866.360398584862,799.697183685019,739.668747185893,769.598584076506,784.747044535924,820.910632671926,789.929573874401,726.840604022414,722.858570567364,56.0823565178894,45.4497659129361,9.76760981061761,12.8281431634783,46.7400135091427
"44","England Premier League",1229232,10260,10172,2,"win",875.309276354841,902.26608903198,763.880102837667,779.892141776747,738.651472596733,810.869486166008,841.527980425372,758.971456176674,735.999488048184,771.367583913671,64.4397901888328,60.7381086066083,4.90864666099299,43.8926537285635,-32.7161113169382
"45","England Premier League",1229233,8466,10261,2,"win",793.705339685393,855.753302260785,803.164717651241,772.287268291148,676.850793511323,811.874559895458,854.71275795266,797.853316272321,748.350688290204,725.88226963546,-18.1692202100645,1.04054430812516,5.31140137892089,23.9365800009438,-49.0314761241374
"46","England Premier League",1229234,10194,9879,1,"win",807.510652770169,841.536970610035,805.978263039231,695.675991266798,782.840080498951,830.011805128757,848.509144217043,759.094711673957,695.557602218753,768.855213569686,-22.5011523585883,-6.97217360700836,46.8835513652741,0.118389048044605,13.9848669292655
"47","England Premier League",1229235,8472,8659,-2,"loss",819.420743999535,855.562724508863,800.246985888843,722.449428777295,775.383217684657,800.763149668053,830.375023959456,777.113369526686,695.980621349198,731.961923321628,18.6575943314822,25.1877005494065,23.1336163621569,26.4688074280973,43.4212943630287
"48","England Premier League",1229236,10003,8650,0,"draw",804.5211825614,843.84367476324,746.282996914519,755.974724671464,644.858841762103,870.289624446312,903.489144077009,821.179930050058,774.57786586105,711.066210561249,-65.7684418849122,-59.6454693137684,-74.8969331355391,-18.6031411895864,-66.2073687991461
"49","England Premier League",1229237,8586,8654,2,"win",868.749224335999,908.519786324786,819.956480299867,764.09149539827,748.33990455184,793.078495211216,827.404372718784,808.190512619189,653.658016368163,755.348584054834,75.6707291247828,81.1154136060018,11.7659676806783,110.433479030106,-7.00867950299391
"50","England Premier League",1229238,8528,9798,1,"win",794.318948839423,820.412988336954,780.135042996293,744.227806197634,676.57624251288,744.250533009816,790.250015101531,753.960934607008,678.795067195613,688.06543893428,50.0684158296074,30.1629732354223,26.1741083892852,65.432739002021,-11.4891964213996
"51","England Premier League",1229239,10252,9798,1,"win",770.711597742033,831.561472545168,773.144655465308,709.679807913504,697.235423634337,744.091353571757,792.216873339079,757.329836267289,702.50247460302,648.13571351921,26.6202441702758,39.3445992060889,15.8148191980188,7.17733331048339,49.099710115127
"52","England Premier League",1229240,10260,8654,1,"win",860.532042332812,899.507887277927,770.385297240714,772.054944455234,714.618842974604,798.886758598462,831.457920566073,789.167110494494,614.904778025214,779.308896417592,61.6452837343508,68.0499667118543,-18.7818132537797,157.15016643002,-64.6900534429885
"53","England Premier League",1229241,8466,9850,0,"draw",793.705339685393,855.753302260785,803.164717651241,772.287268291148,676.850793511323,778.502530429341,815.918469662521,784.61139205622,734.075713740283,726.25825708774,15.2028092560523,39.8348325982636,18.5533255950218,38.2115545508653,-49.4074635764169
"54","England Premier League",1229242,10194,10261,1,"win",807.510652770169,841.536970610035,805.978263039231,695.675991266798,782.840080498951,819.202613725685,855.032781869273,810.907192905432,753.0604708989,746.496485741693,-11.6919609555164,-13.4958112592378,-4.92892986620166,-57.3844796321024,36.3435947572584
"55","England Premier League",1229243,8472,10172,0,"draw",815.036453728403,850.71184731588,807.620311247695,729.168647278093,769.088480842551,820.701520798042,852.128413325805,785.669868875086,742.817236965933,782.210729656817,-5.66506706963969,-1.41656600992417,21.9504423726087,-13.6485896878402,-13.1222488142654
"56","England Premier League",1229244,10003,8659,2,"win",802.136702548659,844.566743723266,752.301630454891,749.274525595178,662.800281481803,804.14569722802,841.422583926371,790.309812868291,676.148115145724,746.056216125598,-2.00899467936074,3.14415979689431,-38.0081824133999,73.1264104494539,-83.2559346437949
"57","England Premier League",1229245,8586,8650,1,"win",875.506631743406,908.50311965812,822.076850670238,789.535939842714,758.484348996285,870.289624446312,903.489144077008,821.179930050058,774.57786586105,711.066210561249,5.21700729709357,5.01397558111114,0.896920620179799,14.9580739816639,47.4181384350358
"58","England Premier League",1229246,8528,8456,-2,"loss",789.221104011837,822.780181823544,786.229008513534,737.888965201465,694.160222397938,898.49243400113,930.755819818863,802.745562703171,743.293142306186,774.818066202849,-109.271329989293,-107.975637995319,-16.5165541896371,-5.40417710472059,-80.6578438049107
"59","England Premier League",1229247,8455,9879,0,"draw",866.711218204405,912.715038440219,813.036645443194,793.0632110425,705.988328696393,834.176328329342,852.91032961874,760.809045426782,691.242811761507,751.296176911544,32.5348898750633,59.8047088214788,52.2276000164128,101.820399280993,-45.3078482151511
"60","England Premier League",1229249,8668,9825,0,"draw",847.06056791327,869.756219868841,815.46299243767,715.998616329907,775.10993456812,877.366395250887,913.219344086698,789.183428351298,749.434563110602,748.458261646292,-30.3058273376172,-43.4631242178569,26.2795640863718,-33.435946780695,26.6516729218282
"61","England Premier League",1229250,9825,10003,-2,"loss",868.428898520975,908.280834890995,769.636272248744,778.741022899974,694.83781880458,798.439888251845,844.905101661623,760.469980623241,746.069319689972,688.358245739767,69.9890102691305,63.3757332293715,9.16629162550259,32.6717032100024,6.47957306481271
"62","England Premier League",1229251,9879,8586,-3,"loss",835.852798917577,862.591752912696,754.622869023853,703.78244693925,768.742377130762,866.233121276417,906.262654969829,824.435408296187,792.650225557,734.738052699988,-30.3803223588402,-43.6709020571332,-69.8125392723333,-88.8677786177498,34.0043244307741
"63","England Premier League",1229253,8650,8466,1,"win",866.555746241184,904.368532188897,817.204679467307,758.778273786458,750.315823032111,793.705339685393,855.753302260785,803.164717651241,772.287268291148,676.850793511323,72.8504065557911,48.6152299281115,14.0399618160659,-13.5089945046903,73.4650295207883
"64","England Premier League",1229254,8456,8668,0,"draw",905.34720176641,926.871622055994,817.134856629456,736.688520801351,749.27351393981,847.06056791327,869.756219868841,815.46299243767,715.998616329907,775.10993456812,58.2866338531408,57.1154021871527,1.67186419178597,20.6899044714442,-25.8364206283103
"65","England Premier League",1229255,10261,8528,3,"win",824.943354466426,859.944659263909,806.128137988446,770.467878306308,735.998401450505,795.500414356664,826.164664582165,789.360042996293,734.888965201465,698.318843087593,29.4429401097617,33.7799946817443,16.7680949921535,35.5789131048424,37.6795583629122
"66","England Premier League",1229256,9850,8472,1,"win",778.502530429341,815.918469662521,784.61139205622,734.075713740283,726.25825708774,812.607222959172,849.747231931265,804.371080478464,740.437878047323,746.608480842551,-34.1046925298314,-33.8287622687436,-19.7596884222446,-6.36216430704064,-20.3502237548114
"67","England Premier League",1229257,10172,10252,0,"draw",809.357835497836,840.739696969697,774.483015873016,731.878831168831,742.716940836941,773.889472985697,833.584620693316,779.03135137174,705.820402455414,724.992002581705,35.4683625121384,7.15507627638067,-4.54833549872455,26.0584287134175,17.7249382552359
"68","England Premier League",1229258,9798,10260,-1,"loss",744.091353571757,792.216873339079,757.329836267289,702.50247460302,648.13571351921,874.272853100675,899.575908245025,769.443466892966,762.194339578945,730.084386457066,-130.181499528919,-107.359034905946,-12.1136306256774,-59.6918649759248,-81.9486729378561
"69","England Premier League",1229259,8659,10194,-1,"loss",798.678716929832,825.253399006515,772.18454481135,682.786038802462,756.818533234179,804.354808614325,839.679827752892,812.082159143127,701.552614643421,782.745924654796,-5.67609168449292,-14.4264287463773,-39.8976143317767,-18.766575840959,-25.9273914206162
"70","England Premier League",1229260,8654,8455,2,"win",797.542494242597,824.228560535749,805.774073037435,610.210075335709,772.984934818846,881.628487890057,917.437189314944,831.137672860766,799.062859079649,714.55389001416,-84.0859936474599,-93.2086287791942,-25.363599823331,-188.85278374394,58.4310448046855
"71","England Premier League",1229261,9825,8659,2,"win",871.382932965116,910.855995117118,782.554564404383,771.746373099597,718.706553828349,799.878084440883,828.697561071467,761.733027646345,697.454980323557,748.539071319829,71.5048485242338,82.1584340456503,20.8215367580383,74.2913927760401,-29.8325174914792
"72","England Premier League",1229262,10252,10194,0,"draw",773.889472985697,833.584620693316,779.03135137174,705.820402455414,724.992002581705,802.462706278396,836.939004616074,829.349122435674,704.740601295257,785.503432997398,-28.5732332926985,-3.35438392275728,-50.3177710639337,1.07980116015756,-60.5114304156933
"73","England Premier League",1229264,8668,8586,1,"win",850.1649496337,878.725682234432,810.121648351648,737.643992673993,752.172165750916,868.531816928591,903.665031247128,815.133911602137,786.330778552391,734.070633345149,-18.3668672948916,-24.9393490126956,-5.01226325048901,-48.6867858783986,18.1015324057663
"74","England Premier League",1229265,9879,10261,1,"win",829.777655890669,850.400228608639,769.002417240153,704.811893050589,712.334887830255,830.939455830948,865.932963357476,808.319171126848,775.823628793637,741.299571041149,-1.16179994027902,-15.5327347488368,-39.3167538866945,-71.0117357430483,-28.9646832108933
"75","England Premier League",1229267,8456,10260,-1,"loss",904.486489945186,937.301740564784,800.912345919955,770.44636685941,706.607460142243,880.746975376455,912.210594639667,755.690842048195,769.301365669075,717.305335365612,23.7395145687306,25.0911459251171,45.2215038717601,1.14500119033573,-10.6978752233695
"76","England Premier League",1229268,8466,9798,1,"win",793.032672440357,850.953417934585,809.312756016385,762.253313211141,664.76203796862,744.091353571757,792.216873339079,757.329836267289,702.50247460302,648.13571351921,48.9413188686005,58.7365445955057,51.9829197490963,59.7508386081204,16.6263244494104
"77","England Premier League",1229269,8472,8455,-2,"loss",814.504258328344,857.27037803181,799.239561842302,718.467819210391,770.262321326113,877.505268516838,918.023371651126,811.250208473302,791.024112640902,706.788932749203,-63.0010101884941,-60.7529936193155,-12.0106466309998,-72.5562934305107,63.47338857691
"78","England Premier League",1229270,10003,9850,-1,"loss",800.201854063811,842.753107359629,764.777388030649,734.101798322451,657.221493603015,779.984539424843,812.377032047995,791.753154508327,738.367900979996,713.7778306343,20.2173146389677,30.3760753116338,-26.975766477678,-4.26610265754573,-56.5563370312848
"79","England Premier League",1229271,8654,8650,-1,"loss",799.89801701597,826.186455919608,801.523381538265,635.979483412419,795.395070660016,859.840746241184,896.763532188897,810.484679467307,750.453273786458,717.205823032111,-59.9427292252142,-70.5770762692882,-8.96129792904242,-114.473790374039,78.1892476279048
"80","England Premier League",1229272,8528,10172,0,"draw",788.599482390215,825.277178820541,778.32510460963,746.888965201465,697.023585761301,799.024502164502,828.287316017316,773.141746031746,725.378831168831,750.58202020202,-10.425019774287,-3.0101371967753,5.18335857788441,21.5101340326339,-53.558434440719
"81","England Premier League",1229273,8455,8466,0,"draw",885.304929048958,920.643960761836,808.135421647224,825.473870924733,682.198967494923,789.693536804642,841.774469766204,787.949599968996,733.999296139966,673.128652521414,95.6113922443158,78.8694909956318,20.1858216782279,91.4745747847674,9.07031497350977
"82","England Premier League",1229274,8650,10252,-2,"loss",869.028789719445,905.853749580201,815.067288162959,758.900012916893,717.494953466894,769.039472985697,832.54295402665,769.923018038407,699.545402455414,722.700335915038,99.9893167337478,73.3107955535513,45.1442701245523,59.3546104614788,-5.20538244814452
"83","England Premier League",1229275,10260,8472,2,"win",886.308028054749,918.196510851445,778.375670965782,748.424447371467,751.330897873933,819.479459192388,853.059371999303,806.085809306805,712.042028706102,768.21154728609,66.8285688623607,65.1371388521418,-27.7101383410227,36.3824186653646,-16.8806494121563
"84","England Premier League",1229276,10261,8456,-2,"loss",819.202613725685,855.032781869273,810.907192905432,753.0604708989,746.496485741693,902.121178720263,930.569660969661,817.246673889637,778.250420471702,733.83952823518,-82.9185649945781,-75.5368791003882,-6.33948098420478,-25.1899495728017,12.6569575065128
"85","England Premier League",1229278,9850,8528,1,"win",786.786350057988,816.580273376049,787.842161286989,707.986854323837,744.120326053257,788.92824686898,819.693515156877,777.750278354804,745.797695360195,707.614190651906,-2.14189681099162,-3.11324178082782,10.0918829321846,-37.8108410363581,36.506135401351
"86","England Premier League",1229279,10172,9879,1,"win",813.747579087579,846.385850815851,750.967753357753,719.037439227439,735.458210678211,833.991502044516,849.715613224024,778.114724932461,701.062662281358,743.407195522563,-20.2439229569364,-3.32976240817322,-27.1469715747078,17.9747769460812,-7.94898484435225
"87","England Premier League",1229280,9798,9825,-3,"loss",746.196841150548,780.215886910025,764.261095673165,692.021491024939,672.370275848035,874.944163384364,916.095748835451,774.292645954276,781.777451941875,718.061520261345,-128.747322233816,-135.879861925427,-10.0315502811112,-89.7559609169358,-45.6912444133106
"88","England Premier League",1229281,10194,8668,0,"draw",807.545950805467,841.344163417228,813.156751217719,715.772894363701,795.075761484632,847.531401246603,874.889553202174,819.271325771003,735.565282996573,764.114101234787,-39.9854504411359,-33.5453897849466,-6.11457455328423,-19.7923886328724,30.9616602498457
"89","England Premier League",1229282,8586,10003,1,"win",864.737936091232,898.980651214922,809.955167640785,793.330778552391,734.366929641446,797.823936443673,843.94788234056,761.650080631717,751.774262090566,669.849258667851,66.9139996475587,55.0327688743621,48.3050870090677,41.5565164618249,64.5176709735945
"90","England Premier League",1229283,8659,8654,0,"draw",792.422528885327,827.022103196009,776.8664830798,698.434467503044,740.639193419951,797.796412737895,820.502855206596,810.723916297623,631.305686620975,784.107191872137,-5.37388385256804,6.51924798941354,-33.8574332178231,67.1287808820688,-43.4679984521867
"91","England Premier League",1229284,8455,10252,8,"win",884.795866807436,919.328927206682,797.763028986122,801.331377598167,709.344488304759,769.039472985697,832.54295402665,769.923018038407,699.545402455414,722.700335915038,115.756393821739,86.7859731800319,27.8400109477151,101.785975142753,-13.3558476102797
"92","England Premier League",1229285,8650,9879,4,"win",867.406918836705,901.021075008396,803.628552985094,751.458642692914,729.306547669793,826.791202446415,850.588340865805,756.236291800754,708.800723960136,734.691822242816,40.6157163902892,50.4327341425906,47.3922611843394,42.6579187327782,-5.38527457302359
"93","England Premier League",1229286,8456,9798,1,"win",891.107778046863,924.906361306361,807.816842239806,730.250016431298,792.273097258749,752.670364896917,793.905396825397,778.915453384419,689.325305601168,701.727491333698,138.437413149946,131.000964480965,28.9013888553868,40.9247108301302,90.5456059250512
"94","England Premier League",1229287,10261,10172,1,"win",819.202613725685,855.032781869273,810.907192905432,753.0604708989,746.496485741693,818.052626728111,852.633517665131,765.833476702509,712.305161290323,762.025417306708,1.14998699757473,2.39926420414236,45.0737162029236,40.7553096085776,-15.5289315650147
"95","England Premier League",1229288,8466,8472,-1,"loss",794.429192586877,852.822465553633,789.505979459609,776.839393797221,682.978155184737,818.30211929091,857.32538185152,807.622755119613,741.347447425314,753.221399502838,-23.8729267040329,-4.50291629788751,-18.1167756600039,35.4919463719073,-70.2432443181011
"96","England Premier League",1229289,10003,10260,0,"draw",796.949077920554,842.507682202533,775.254635497141,777.823461538462,668.006429130239,888.969224965946,919.738016642951,788.630497220608,740.547999495019,761.78070482374,-92.020147045392,-77.2303344404174,-13.375861723467,37.2754620434428,-93.774275693501
"97","England Premier League",1229290,8586,10194,0,"draw",872.19500137855,912.035800477897,830.106144852758,781.859347617735,740.571799598251,799.905677100677,836.267917082917,821.134268324268,705.36526973027,785.531284456285,72.2893242778727,75.7678833949802,8.97187652848936,76.494077887465,-44.9594848580332
"98","England Premier League",1229291,8659,9850,1,"win",799.531565279041,836.844849267142,754.52895206243,682.283412912473,713.914007315732,785.432183391321,815.636820995097,796.66954223937,706.037449561932,729.709611767543,14.0993818877193,21.2080282720455,-42.1405901769394,-23.7540366494592,-15.7956044518105
"99","England Premier League",1229292,8654,8668,-1,"loss",798.669930524457,824.931708961537,814.360279933987,624.015172786983,775.221816378066,844.983824092574,867.552381368632,785.754126706627,710.961108474858,771.088778305028,-46.3138935681177,-42.620672407095,28.6061532273601,-86.9459356878754,4.13303807303816
"100","England Premier League",1229294,8528,9825,-1,"loss",796.903298972049,829.516053471053,797.013675474925,756.730311355311,694.481075993576,874.944163384364,916.095748835451,774.292645954276,781.777451941875,718.061520261345,-78.0408644123149,-86.5796953643982,22.7210295206495,-25.0471405865638,-23.5804442677693
