"","home_team_long_name","league_name","home_team_short_name","home_team_api_id","variable","value"
"1","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_ratings",797.964034309509
"2","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_ratings",800.71274355243
"3","West Ham United","England Premier League","WHU",8654,"home_team_overall_ratings",797.542494242597
"4","Sunderland","England Premier League","SUN",8472,"home_team_overall_ratings",814.504258328344
"5","Swansea City","England Premier League","SWA",10003,"home_team_overall_ratings",799.376799167017
"6","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_ratings",789.221104011837
"7","Chelsea","England Premier League","CHE",8455,"home_team_overall_ratings",888.486953498523
"8","West Ham United","England Premier League","WHU",8654,"home_team_overall_ratings",806.180321793468
"9","Newcastle United","England Premier League","NEW",10261,"home_team_overall_ratings",819.202613725685
"10","Chelsea","England Premier League","CHE",8455,"home_team_overall_ratings",885.304929048958
"11","Queens Park Rangers","England Premier League","QPR",10172,"home_team_overall_ratings",824.802473178995
"12","Manchester City","England Premier League","MCI",8456,"home_team_overall_ratings",907.835774993555
"13","Liverpool","England Premier League","LIV",8650,"home_team_overall_ratings",866.555746241184
"14","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_ratings",804.249711761873
"15","Norwich City","England Premier League","NOR",9850,"home_team_overall_ratings",778.502530429341
"16","Fulham","England Premier League","FUL",9879,"home_team_overall_ratings",835.781002094016
"17","Southampton","England Premier League","SOU",8466,"home_team_overall_ratings",794.429192586877
"18","Everton","England Premier League","EVE",8668,"home_team_overall_ratings",851.706616300366
"19","Arsenal","England Premier League","ARS",9825,"home_team_overall_ratings",864.734454076531
"20","Manchester United","England Premier League","MUN",10260,"home_team_overall_ratings",886.308028054749
"21","Norwich City","England Premier League","NOR",9850,"home_team_overall_ratings",786.786350057988
"22","Tottenham Hotspur","England Premier League","TOT",8586,"home_team_overall_ratings",866.022557669332
"23","Liverpool","England Premier League","LIV",8650,"home_team_overall_ratings",855.251768968457
"24","Newcastle United","England Premier League","NEW",10261,"home_team_overall_ratings",824.943354466426
"25","Arsenal","England Premier League","ARS",9825,"home_team_overall_ratings",878.524289987729
"26","Fulham","England Premier League","FUL",9879,"home_team_overall_ratings",835.852798917577
"27","Newcastle United","England Premier League","NEW",10261,"home_team_overall_ratings",832.240791798909
"28","Manchester City","England Premier League","MCI",8456,"home_team_overall_ratings",902.842680271075
"29","Everton","England Premier League","EVE",8668,"home_team_overall_ratings",850.1649496337
"30","West Ham United","England Premier League","WHU",8654,"home_team_overall_ratings",799.89801701597
"31","Swansea City","England Premier League","SWA",10003,"home_team_overall_ratings",804.5211825614
"32","Chelsea","England Premier League","CHE",8455,"home_team_overall_ratings",882.580703498523
"33","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_ratings",809.523009252913
"34","Tottenham Hotspur","England Premier League","TOT",8586,"home_team_overall_ratings",875.506631743406
"35","Manchester United","England Premier League","MUN",10260,"home_team_overall_ratings",860.532042332812
"36","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_ratings",792.422528885327
"37","Newcastle United","England Premier League","NEW",10261,"home_team_overall_ratings",823.31337244407
"38","Tottenham Hotspur","England Premier League","TOT",8586,"home_team_overall_ratings",868.749224335999
"39","Swansea City","England Premier League","SWA",10003,"home_team_overall_ratings",802.136702548659
"40","Arsenal","England Premier League","ARS",9825,"home_team_overall_ratings",871.382932965116
"41","Sunderland","England Premier League","SUN",8472,"home_team_overall_ratings",819.420743999535
"42","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_ratings",803.234333454808
"43","Fulham","England Premier League","FUL",9879,"home_team_overall_ratings",836.645184288633
"44","Manchester City","England Premier League","MCI",8456,"home_team_overall_ratings",905.34720176641
"45","West Ham United","England Premier League","WHU",8654,"home_team_overall_ratings",798.669930524457
"46","Stoke City","England Premier League","STK",10194,"home_team_overall_ratings",807.545950805467
"47","Reading","England Premier League","REA",9798,"home_team_overall_ratings",744.250533009816
"48","Southampton","England Premier League","SOU",8466,"home_team_overall_ratings",793.032672440357
"49","Aston Villa","England Premier League","AVL",10252,"home_team_overall_ratings",770.711597742033
"50","Manchester City","England Premier League","MCI",8456,"home_team_overall_ratings",891.107778046863
"51","Queens Park Rangers","England Premier League","QPR",10172,"home_team_overall_ratings",820.6043779409
"52","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_ratings",794.318948839423
"53","Aston Villa","England Premier League","AVL",10252,"home_team_overall_ratings",782.899920723399
"54","Reading","England Premier League","REA",9798,"home_team_overall_ratings",746.196841150548
"55","Manchester United","England Premier League","MUN",10260,"home_team_overall_ratings",880.746975376455
"56","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_ratings",796.903298972049
"57","Everton","England Premier League","EVE",8668,"home_team_overall_ratings",847.06056791327
"58","Swansea City","England Premier League","SWA",10003,"home_team_overall_ratings",800.201854063811
"59","Everton","England Premier League","EVE",8668,"home_team_overall_ratings",840.829401053813
"60","Fulham","England Premier League","FUL",9879,"home_team_overall_ratings",839.706730182352
"61","Southampton","England Premier League","SOU",8466,"home_team_overall_ratings",793.705339685393
"62","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_ratings",799.531565279041
"63","Reading","England Premier League","REA",9798,"home_team_overall_ratings",745.283783630163
"64","Stoke City","England Premier League","STK",10194,"home_team_overall_ratings",807.510652770169
"65","Chelsea","England Premier League","CHE",8455,"home_team_overall_ratings",866.711218204405
"66","Queens Park Rangers","England Premier League","QPR",10172,"home_team_overall_ratings",813.747579087579
"67","Arsenal","England Premier League","ARS",9825,"home_team_overall_ratings",864.871405645586
"68","Liverpool","England Premier League","LIV",8650,"home_team_overall_ratings",867.406918836705
"69","Tottenham Hotspur","England Premier League","TOT",8586,"home_team_overall_ratings",864.737936091232
"70","Southampton","England Premier League","SOU",8466,"home_team_overall_ratings",793.705339685393
"71","Arsenal","England Premier League","ARS",9825,"home_team_overall_ratings",868.428898520975
"72","Queens Park Rangers","England Premier League","QPR",10172,"home_team_overall_ratings",809.605544921029
"73","Newcastle United","England Premier League","NEW",10261,"home_team_overall_ratings",805.94218202014
"74","Stoke City","England Premier League","STK",10194,"home_team_overall_ratings",810.701794961311
"75","Manchester United","England Premier League","MUN",10260,"home_team_overall_ratings",875.309276354841
"76","Newcastle United","England Premier League","NEW",10261,"home_team_overall_ratings",819.202613725685
"77","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_ratings",788.599482390215
"78","Sunderland","England Premier League","SUN",8472,"home_team_overall_ratings",815.036453728403
"79","Reading","England Premier League","REA",9798,"home_team_overall_ratings",750.920800051203
"80","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_ratings",798.678716929832
"81","West Ham United","England Premier League","WHU",8654,"home_team_overall_ratings",793.078495211216
"82","Norwich City","England Premier League","NOR",9850,"home_team_overall_ratings",793.030864164571
"83","Aston Villa","England Premier League","AVL",10252,"home_team_overall_ratings",773.889472985697
"84","Tottenham Hotspur","England Premier League","TOT",8586,"home_team_overall_ratings",872.19500137855
"85","Chelsea","England Premier League","CHE",8455,"home_team_overall_ratings",884.795866807436
"86","Sunderland","England Premier League","SUN",8472,"home_team_overall_ratings",820.538560091489
"87","Queens Park Rangers","England Premier League","QPR",10172,"home_team_overall_ratings",809.357835497836
"88","Liverpool","England Premier League","LIV",8650,"home_team_overall_ratings",869.028789719445
"89","Manchester City","England Premier League","MCI",8456,"home_team_overall_ratings",909.124068423153
"90","West Ham United","England Premier League","WHU",8654,"home_team_overall_ratings",797.799966041457
"91","Aston Villa","England Premier League","AVL",10252,"home_team_overall_ratings",786.013254056732
"92","Swansea City","England Premier League","SWA",10003,"home_team_overall_ratings",796.949077920554
"93","Everton","England Premier League","EVE",8668,"home_team_overall_ratings",847.879116300366
"94","Norwich City","England Premier League","NOR",9850,"home_team_overall_ratings",793.030864164571
"95","Reading","England Premier League","REA",9798,"home_team_overall_ratings",744.091353571757
"96","Manchester City","England Premier League","MCI",8456,"home_team_overall_ratings",904.486489945186
"97","Liverpool","England Premier League","LIV",8650,"home_team_overall_ratings",844.539793443981
"98","Southampton","England Premier League","SOU",8466,"home_team_overall_ratings",793.705339685393
"99","Stoke City","England Premier League","STK",10194,"home_team_overall_ratings",807.510652770169
"100","Fulham","England Premier League","FUL",9879,"home_team_overall_ratings",829.777655890669
"101","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_potentials",834.012510018975
"102","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_potentials",835.717146510818
"103","West Ham United","England Premier League","WHU",8654,"home_team_overall_potentials",824.228560535749
"104","Sunderland","England Premier League","SUN",8472,"home_team_overall_potentials",857.27037803181
"105","Swansea City","England Premier League","SWA",10003,"home_team_overall_potentials",837.514309683875
"106","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_potentials",822.780181823544
"107","Chelsea","England Premier League","CHE",8455,"home_team_overall_potentials",924.157487535242
"108","West Ham United","England Premier League","WHU",8654,"home_team_overall_potentials",837.586113042918
"109","Newcastle United","England Premier League","NEW",10261,"home_team_overall_potentials",855.032781869273
"110","Chelsea","England Premier League","CHE",8455,"home_team_overall_potentials",920.643960761836
"111","Queens Park Rangers","England Premier League","QPR",10172,"home_team_overall_potentials",864.425556182948
"112","Manchester City","England Premier League","MCI",8456,"home_team_overall_potentials",936.153822460344
"113","Liverpool","England Premier League","LIV",8650,"home_team_overall_potentials",904.368532188897
"114","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_potentials",837.320997609462
"115","Norwich City","England Premier League","NOR",9850,"home_team_overall_potentials",815.918469662521
"116","Fulham","England Premier League","FUL",9879,"home_team_overall_potentials",856.187315695727
"117","Southampton","England Premier League","SOU",8466,"home_team_overall_potentials",852.822465553633
"118","Everton","England Premier League","EVE",8668,"home_team_overall_potentials",876.996515567766
"119","Arsenal","England Premier League","ARS",9825,"home_team_overall_potentials",900.197501557662
"120","Manchester United","England Premier League","MUN",10260,"home_team_overall_potentials",918.196510851445
"121","Norwich City","England Premier League","NOR",9850,"home_team_overall_potentials",816.580273376049
"122","Tottenham Hotspur","England Premier League","TOT",8586,"home_team_overall_potentials",902.03811965812
"123","Liverpool","England Premier League","LIV",8650,"home_team_overall_potentials",901.112850370715
"124","Newcastle United","England Premier League","NEW",10261,"home_team_overall_potentials",859.944659263909
"125","Arsenal","England Premier League","ARS",9825,"home_team_overall_potentials",910.675923034066
"126","Fulham","England Premier League","FUL",9879,"home_team_overall_potentials",862.591752912696
"127","Newcastle United","England Premier League","NEW",10261,"home_team_overall_potentials",870.205681376347
"128","Manchester City","England Premier League","MCI",8456,"home_team_overall_potentials",931.708787041546
"129","Everton","England Premier League","EVE",8668,"home_team_overall_potentials",878.725682234432
"130","West Ham United","England Premier League","WHU",8654,"home_team_overall_potentials",826.186455919608
"131","Swansea City","England Premier League","SWA",10003,"home_team_overall_potentials",843.84367476324
"132","Chelsea","England Premier League","CHE",8455,"home_team_overall_potentials",920.785959757464
"133","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_potentials",837.240042274475
"134","Tottenham Hotspur","England Premier League","TOT",8586,"home_team_overall_potentials",908.50311965812
"135","Manchester United","England Premier League","MUN",10260,"home_team_overall_potentials",899.507887277927
"136","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_potentials",827.022103196009
"137","Newcastle United","England Premier League","NEW",10261,"home_team_overall_potentials",864.094261279944
"138","Tottenham Hotspur","England Premier League","TOT",8586,"home_team_overall_potentials",908.519786324786
"139","Swansea City","England Premier League","SWA",10003,"home_team_overall_potentials",844.566743723266
"140","Arsenal","England Premier League","ARS",9825,"home_team_overall_potentials",910.855995117118
"141","Sunderland","England Premier League","SUN",8472,"home_team_overall_potentials",855.562724508863
"142","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_potentials",830.228305797271
"143","Fulham","England Premier League","FUL",9879,"home_team_overall_potentials",858.01485192761
"144","Manchester City","England Premier League","MCI",8456,"home_team_overall_potentials",926.871622055994
"145","West Ham United","England Premier League","WHU",8654,"home_team_overall_potentials",824.931708961537
"146","Stoke City","England Premier League","STK",10194,"home_team_overall_potentials",841.344163417228
"147","Reading","England Premier League","REA",9798,"home_team_overall_potentials",790.250015101531
"148","Southampton","England Premier League","SOU",8466,"home_team_overall_potentials",850.953417934585
"149","Aston Villa","England Premier League","AVL",10252,"home_team_overall_potentials",831.561472545168
"150","Manchester City","England Premier League","MCI",8456,"home_team_overall_potentials",924.906361306361
"151","Queens Park Rangers","England Premier League","QPR",10172,"home_team_overall_potentials",857.993175230567
"152","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_potentials",820.412988336954
"153","Aston Villa","England Premier League","AVL",10252,"home_team_overall_potentials",836.171161986162
"154","Reading","England Premier League","REA",9798,"home_team_overall_potentials",780.215886910025
"155","Manchester United","England Premier League","MUN",10260,"home_team_overall_potentials",912.210594639667
"156","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_potentials",829.516053471053
"157","Everton","England Premier League","EVE",8668,"home_team_overall_potentials",869.756219868841
"158","Swansea City","England Premier League","SWA",10003,"home_team_overall_potentials",842.753107359629
"159","Everton","England Premier League","EVE",8668,"home_team_overall_potentials",866.360398584862
"160","Fulham","England Premier League","FUL",9879,"home_team_overall_potentials",863.445141782683
"161","Southampton","England Premier League","SOU",8466,"home_team_overall_potentials",855.753302260785
"162","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_potentials",836.844849267142
"163","Reading","England Premier League","REA",9798,"home_team_overall_potentials",784.930708917519
"164","Stoke City","England Premier League","STK",10194,"home_team_overall_potentials",841.536970610035
"165","Chelsea","England Premier League","CHE",8455,"home_team_overall_potentials",912.715038440219
"166","Queens Park Rangers","England Premier League","QPR",10172,"home_team_overall_potentials",846.385850815851
"167","Arsenal","England Premier League","ARS",9825,"home_team_overall_potentials",895.211941789395
"168","Liverpool","England Premier League","LIV",8650,"home_team_overall_potentials",901.021075008396
"169","Tottenham Hotspur","England Premier League","TOT",8586,"home_team_overall_potentials",898.980651214922
"170","Southampton","England Premier League","SOU",8466,"home_team_overall_potentials",855.753302260785
"171","Arsenal","England Premier League","ARS",9825,"home_team_overall_potentials",908.280834890995
"172","Queens Park Rangers","England Premier League","QPR",10172,"home_team_overall_potentials",849.146020717634
"173","Newcastle United","England Premier League","NEW",10261,"home_team_overall_potentials",855.781359573229
"174","Stoke City","England Premier League","STK",10194,"home_team_overall_potentials",843.201306274371
"175","Manchester United","England Premier League","MUN",10260,"home_team_overall_potentials",902.26608903198
"176","Newcastle United","England Premier League","NEW",10261,"home_team_overall_potentials",855.032781869273
"177","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_potentials",825.277178820541
"178","Sunderland","England Premier League","SUN",8472,"home_team_overall_potentials",850.71184731588
"179","Reading","England Premier League","REA",9798,"home_team_overall_potentials",795.640371121629
"180","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_potentials",825.253399006515
"181","West Ham United","England Premier League","WHU",8654,"home_team_overall_potentials",827.404372718784
"182","Norwich City","England Premier League","NOR",9850,"home_team_overall_potentials",821.572436385454
"183","Aston Villa","England Premier League","AVL",10252,"home_team_overall_potentials",833.584620693316
"184","Tottenham Hotspur","England Premier League","TOT",8586,"home_team_overall_potentials",912.035800477897
"185","Chelsea","England Premier League","CHE",8455,"home_team_overall_potentials",919.328927206682
"186","Sunderland","England Premier League","SUN",8472,"home_team_overall_potentials",853.511000370932
"187","Queens Park Rangers","England Premier League","QPR",10172,"home_team_overall_potentials",840.739696969697
"188","Liverpool","England Premier League","LIV",8650,"home_team_overall_potentials",905.853749580201
"189","Manchester City","England Premier League","MCI",8456,"home_team_overall_potentials",936.621695971696
"190","West Ham United","England Premier League","WHU",8654,"home_team_overall_potentials",821.359616006232
"191","Aston Villa","England Premier League","AVL",10252,"home_team_overall_potentials",839.877828652829
"192","Swansea City","England Premier League","SWA",10003,"home_team_overall_potentials",842.507682202533
"193","Everton","England Premier League","EVE",8668,"home_team_overall_potentials",868.459848901099
"194","Norwich City","England Premier League","NOR",9850,"home_team_overall_potentials",821.572436385454
"195","Reading","England Premier League","REA",9798,"home_team_overall_potentials",792.216873339079
"196","Manchester City","England Premier League","MCI",8456,"home_team_overall_potentials",937.301740564784
"197","Liverpool","England Premier League","LIV",8650,"home_team_overall_potentials",894.065341629456
"198","Southampton","England Premier League","SOU",8466,"home_team_overall_potentials",855.753302260785
"199","Stoke City","England Premier League","STK",10194,"home_team_overall_potentials",841.536970610035
"200","Fulham","England Premier League","FUL",9879,"home_team_overall_potentials",850.400228608639
"201","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_staminas",777.532087525837
"202","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_staminas",788.99231123715
"203","West Ham United","England Premier League","WHU",8654,"home_team_overall_staminas",805.774073037435
"204","Sunderland","England Premier League","SUN",8472,"home_team_overall_staminas",799.239561842302
"205","Swansea City","England Premier League","SWA",10003,"home_team_overall_staminas",736.121214252736
"206","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_staminas",786.229008513534
"207","Chelsea","England Premier League","CHE",8455,"home_team_overall_staminas",830.477114900208
"208","West Ham United","England Premier League","WHU",8654,"home_team_overall_staminas",794.430242575958
"209","Newcastle United","England Premier League","NEW",10261,"home_team_overall_staminas",810.907192905432
"210","Chelsea","England Premier League","CHE",8455,"home_team_overall_staminas",808.135421647224
"211","Queens Park Rangers","England Premier League","QPR",10172,"home_team_overall_staminas",769.576218081436
"212","Manchester City","England Premier League","MCI",8456,"home_team_overall_staminas",820.056922336842
"213","Liverpool","England Premier League","LIV",8650,"home_team_overall_staminas",817.204679467307
"214","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_staminas",779.467673555991
"215","Norwich City","England Premier League","NOR",9850,"home_team_overall_staminas",784.61139205622
"216","Fulham","England Premier League","FUL",9879,"home_team_overall_staminas",763.610639748376
"217","Southampton","England Premier League","SOU",8466,"home_team_overall_staminas",789.505979459609
"218","Everton","England Premier League","EVE",8668,"home_team_overall_staminas",807.315100732601
"219","Arsenal","England Premier League","ARS",9825,"home_team_overall_staminas",766.701087063559
"220","Manchester United","England Premier League","MUN",10260,"home_team_overall_staminas",778.375670965782
"221","Norwich City","England Premier League","NOR",9850,"home_team_overall_staminas",787.842161286989
"222","Tottenham Hotspur","England Premier League","TOT",8586,"home_team_overall_staminas",824.378146966534
"223","Liverpool","England Premier League","LIV",8650,"home_team_overall_staminas",782.589149164277
"224","Newcastle United","England Premier League","NEW",10261,"home_team_overall_staminas",806.128137988446
"225","Arsenal","England Premier League","ARS",9825,"home_team_overall_staminas",767.471586246035
"226","Fulham","England Premier League","FUL",9879,"home_team_overall_staminas",754.622869023853
"227","Newcastle United","England Premier League","NEW",10261,"home_team_overall_staminas",813.800611512646
"228","Manchester City","England Premier League","MCI",8456,"home_team_overall_staminas",824.189102278617
"229","Everton","England Premier League","EVE",8668,"home_team_overall_staminas",810.121648351648
"230","West Ham United","England Premier League","WHU",8654,"home_team_overall_staminas",801.523381538265
"231","Swansea City","England Premier League","SWA",10003,"home_team_overall_staminas",746.282996914519
"232","Chelsea","England Premier League","CHE",8455,"home_team_overall_staminas",814.796559344652
"233","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_staminas",767.177075265392
"234","Tottenham Hotspur","England Premier League","TOT",8586,"home_team_overall_staminas",822.076850670238
"235","Manchester United","England Premier League","MUN",10260,"home_team_overall_staminas",770.385297240714
"236","West Bromwich Albion","England Premier League","WBA",8659,"home_team_overall_staminas",776.8664830798
"237","Newcastle United","England Premier League","NEW",10261,"home_team_overall_staminas",781.45494966615
"238","Tottenham Hotspur","England Premier League","TOT",8586,"home_team_overall_staminas",819.956480299867
"239","Swansea City","England Premier League","SWA",10003,"home_team_overall_staminas",752.301630454891
"240","Arsenal","England Premier League","ARS",9825,"home_team_overall_staminas",782.554564404383
"241","Sunderland","England Premier League","SUN",8472,"home_team_overall_staminas",800.246985888843
"242","Wigan Athletic","England Premier League","WIG",8528,"home_team_overall_staminas",782.08931039556
"243","Fulham","England Premier League","FUL",9879,"home_team_overall_staminas",754.590971011316
"244","Manchester City","England Premier League","MCI",8456,"home_team_overall_staminas",817.134856629456
"245","West Ham United","England Premier League","WHU",8654,"home_team_overall_staminas",814.360279933987
"246","Stoke City","England Premier League","STK",10194,"home_team_overall_staminas",813.156751217719
"247","Reading","England Premier League","REA",9798,"home_team_overall_staminas",753.960934607008
"248","Southampton","England Premier League","SOU",8466,"home_team_overall_staminas",809.312756016385
"249","Aston Villa","England Premier League","AVL",10252,"home_team_overall_staminas",773.144655465308
"250","Manchester City","England Premier League","MCI",8456,"home_team_overall_staminas",807.816842239806
"251","Queens Park Rangers","England Premier League","QPR",10172,"home_team_overall_staminas",784.560979986197
